INSERT INTO Course_Enrollment(Student_ID, Course_ID, Enrollment_Date2) VALUES
("S001", "C001", "7/2/2023"),
("S001", "C004", "7/2/2023"),
("S001", "C005", "7/2/2023"),
("S001", "C006", "7/2/2023"),
("S001", "C009", "7/2/2023"),
("S001", "C010", "7/2/2023"),
("S002", "C002", "7/2/2023"),
("S002", "C003", "7/2/2023"),
("S002", "C004", "7/2/2023"),
("S002", "C005", "7/2/2023"),
("S002", "C008", "7/2/2023"),
("S002", "C009", "7/2/2023"),
("S002", "C010", "7/2/2023"),
("S003", "C001", "7/2/2023"),
("S003", "C004", "7/2/2023"),
("S003", "C007", "7/2/2023"),
("S003", "C008", "7/2/2023"),
("S003", "C009", "7/2/2023"),
("S004", "C001", "7/2/2023"),
("S004", "C002", "7/2/2023"),
("S004", "C003", "7/2/2023"),
("S004", "C006", "7/2/2023"),
("S004", "C007", "7/2/2023"),
("S004", "C009", "7/2/2023"),
("S004", "C010", "7/2/2023"),
("S005", "C002", "7/2/2023"),
("S005", "C003", "7/2/2023"),
("S005", "C005", "7/2/2023"),
("S005", "C007", "7/2/2023"),
("S005", "C010", "7/2/2023"),
("S006", "C002", "7/2/2023"),
("S006", "C003", "7/2/2023"),
("S006", "C004", "7/2/2023"),
("S006", "C006", "7/2/2023"),
("S006", "C007", "7/2/2023"),
("S006", "C008", "7/2/2023"),
("S006", "C009", "7/2/2023"),
("S007", "C001", "7/2/2023"),
("S007", "C004", "7/2/2023"),
("S007", "C005", "7/2/2023"),
("S007", "C006", "7/2/2023"),
("S007", "C009", "7/2/2023"),
("S007", "C010", "7/2/2023"),
("S008", "C001", "7/2/2023"),
("S008", "C002", "7/2/2023"),
("S008", "C004", "7/2/2023"),
("S008", "C005", "7/2/2023"),
("S008", "C009", "7/2/2023"),
("S008", "C010", "7/2/2023"),
("S009", "C001", "7/2/2023"),
("S009", "C002", "7/2/2023"),
("S009", "C005", "7/2/2023"),
("S009", "C006", "7/2/2023"),
("S009", "C007", "7/2/2023"),
("S009", "C010", "7/2/2023"),
("S010", "C001", "7/2/2023"),
("S010", "C003", "7/2/2023"),
("S010", "C004", "7/2/2023"),
("S010", "C006", "7/2/2023"),
("S010", "C008", "7/2/2023"),
("S010", "C010", "7/2/2023"),
("S011", "C002", "7/2/2023"),
("S011", "C003", "7/2/2023"),
("S011", "C005", "7/2/2023"),
("S011", "C006", "7/2/2023"),
("S011", "C009", "7/2/2023"),
("S011", "C010", "7/2/2023"),
("S012", "C003", "7/2/2023"),
("S012", "C004", "7/2/2023"),
("S012", "C005", "7/2/2023"),
("S012", "C007", "7/2/2023"),
("S012", "C008", "7/2/2023"),
("S012", "C010", "7/2/2023"),
("S012", "C001", "7/2/2023"),
("S013", "C004", "7/2/2023"),
("S013", "C005", "7/2/2023"),
("S013", "C006", "7/2/2023"),
("S013", "C007", "7/2/2023"),
("S013", "C010", "7/2/2023"),
("S014", "C001", "7/2/2023"),
("S014", "C002", "7/2/2023"),
("S014", "C004", "7/2/2023"),
("S014", "C005", "7/2/2023"),
("S014", "C007", "7/2/2023"),
("S014", "C009", "7/2/2023"),
("S014", "C010", "7/2/2023"),
("S015", "C001", "7/2/2023"),
("S015", "C004", "7/2/2023"),
("S015", "C005", "7/2/2023"),
("S015", "C006", "7/2/2023"),
("S015", "C007", "7/2/2023"),
("S015", "C009", "7/2/2023"),
("S015", "C010", "7/2/2023"),
("S016", "C002", "7/2/2023"),
("S016", "C003", "7/2/2023"),
("S016", "C005", "7/2/2023"),
("S016", "C006", "7/2/2023"),
("S016", "C008", "7/2/2023"),
("S016", "C010", "7/2/2023");
